2018-04-30 20:07:32	Case = 21(544)		2018-04-30 20:04:53
2018-04-30 20:07:32	Case = 25(545)		2018-04-30 20:04:51
2018-04-30 20:07:32	Case = 26(546)		2018-04-30 20:04:51
2018-04-30 20:07:32	Case = 27(547)		2018-04-30 20:04:51
2018-04-30 20:07:32	Case = 33(548)		2018-04-30 20:04:58
2018-04-30 20:07:33	Case = 34(549)		2018-04-30 20:04:49
2018-04-30 20:07:33	Case = 35(550)		2018-04-30 20:04:49
2018-04-30 20:07:33	Case = 36(551)		2018-04-30 20:04:53
2018-04-30 20:07:33	Case = 37(552)		2018-04-30 20:04:53
2018-04-30 20:07:34	Case = 17(553)		2018-04-30 20:05:35
2018-04-30 20:07:34	Case = 18(554)		2018-04-30 20:04:51
2018-04-30 20:07:34	Case = 21(555)		2018-04-30 20:04:53
2018-04-30 20:07:34	Case = 33(556)		2018-04-30 20:04:58
2018-04-30 20:07:34	Case = 34(557)		2018-04-30 20:04:49
2018-04-30 20:07:34	Case = 35(558)		2018-04-30 20:04:49
2018-04-30 20:07:34	Case = 36(559)		2018-04-30 20:04:53
2018-04-30 20:07:35	Case = 3(560)		2018-04-30 20:04:50
2018-04-30 20:07:35	Case = 4(561)		2018-04-30 20:04:52
2018-04-30 20:07:35	Case = 17(562)		2018-04-30 20:05:35
2018-04-30 20:07:35	Case = 18(563)		2018-04-30 20:04:51
2018-04-30 20:07:35	Case = 29(564)		2018-04-30 20:04:53
2018-04-30 20:07:37	Case = 37(565)		2018-04-30 20:04:53
2018-04-30 20:07:37	Case = 41(566)		2018-04-30 20:04:49
2018-04-30 20:07:37	Case = 42(567)		2018-04-30 20:04:49
2018-04-30 20:07:37	Case = 43(568)		2018-04-30 20:04:49
2018-04-30 20:07:38	Case = 25(569)		2018-04-30 20:04:51
2018-04-30 20:07:38	Case = 26(570)		2018-04-30 20:04:51
2018-04-30 20:07:38	Case = 27(571)		2018-04-30 20:04:51
2018-04-30 20:07:39	Case = 33(572)		2018-04-30 20:04:58
2018-04-30 20:07:39	Case = 34(573)		2018-04-30 20:04:49
